,country_num,wave_chron,wave_year,agp_score,n,region
1,704,7,2019,1.839236426719684,1048,MENA
2,368,7,2019,1.7926610694889609,1130,EE/FSU
3,608,7,2019,1.7589264102832665,1195,MENA
4,710,6,2013,1.755480464476958,3120,EE/FSU
5,764,7,2019,1.5761161825606544,1448,EE/FSU
6,860,7,2019,1.5418478976443002,932,Asia-Pacific
7,222,3,1997,1.4296752199221314,1017,West
8,104,7,2019,1.3373161766773884,1200,Latin America
9,197,5,2007,1.3176156214900947,418,Other
10,417,7,2019,1.302103775550324,940,Africa
11,762,7,2019,1.272043017529762,1200,EE/FSU
12,51,7,2019,1.2534410834855634,985,Latin America
13,496,7,2019,1.2358941734128912,1638,Africa
14,915,5,2007,1.226668357970427,1375,Other
15,398,7,2019,1.2125661271877335,971,Other
16,484,7,2019,1.211824674652184,1646,Africa
17,466,5,2007,1.2036671171825333,1256,Africa
18,586,7,2019,1.1711181019964858,1741,Africa
19,360,7,2019,1.1024755052046475,3058,EE/FSU
20,422,7,2019,1.075634342669466,1152,Africa
21,498,5,2007,1.0371009501223702,929,Africa
22,807,7,2019,0.9921431130422539,933,Asia-Pacific
23,320,7,2019,0.9089781150049355,1229,West
24,268,7,2019,0.881343094050776,1866,West
25,458,7,2019,0.8726505084346584,1312,Africa
26,400,7,2019,0.8706894193367769,943,Africa
27,434,7,2019,0.830781734579344,1098,Africa
28,76,7,2019,0.817417298907636,1264,Latin America
29,604,7,2019,0.7755972558017348,1238,MENA
30,410,7,2019,0.7670325798888947,1245,Africa
31,642,7,2019,0.7335845620645985,963,MENA
32,499,7,2019,0.7035970622249728,689,Africa
33,356,7,2019,0.6942647526929502,1386,EE/FSU
34,404,7,2019,0.6510059052166458,1198,Africa
35,156,7,2019,0.6407017392843344,2919,Latin America
36,218,7,2019,0.6182936530109568,1130,West
37,688,7,2019,0.6180687467501489,836,MENA
38,643,7,2019,0.5788921065699624,1389,MENA
39,804,7,2019,0.5337254237645123,883,Asia-Pacific
40,170,7,2019,0.49386047797859567,1520,Other
41,446,7,2019,0.45602968948356765,1012,Africa
42,112,7,2019,0.42770986194432065,1289,Latin America
43,792,6,2013,0.3984309764418562,1323,Asia-Pacific
44,462,7,2019,0.38244942640573165,1003,Africa
45,566,7,2019,0.36630526640125965,1209,Africa
46,158,7,2019,0.30480331548364725,1166,Latin America
47,275,6,2013,0.2689828511279718,877,West
48,800,4,2001,0.2610152640427269,935,Asia-Pacific
49,504,7,2019,0.224596184075059,1200,Africa
50,788,7,2019,0.21161621740811223,1125,Asia-Pacific
51,364,7,2019,0.19266074616026044,1443,West
52,152,7,2019,0.18029156420653883,779,Latin America
53,31,7,2019,0.17467906269576466,1430,Latin America
54,414,6,2013,0.14850149230568005,1111,Africa
55,558,7,2019,0.14408895960984686,1200,Africa
56,68,7,2019,0.1334228870656125,1794,Latin America
57,70,7,2019,0.11837686955463488,1613,Latin America
58,854,5,2007,0.11414115601654448,1164,Asia-Pacific
59,862,7,2019,0.07621393333703495,1190,Asia-Pacific
60,620,7,2019,0.0394145488925682,838,MENA
61,646,6,2013,0.006380044345613907,1527,MENA
62,818,5,2007,0.0009691974503533981,2933,Asia-Pacific
63,100,7,2019,-0.06436043249092532,1134,Latin America
64,440,7,2019,-0.08094378183641003,1215,Africa
65,344,7,2019,-0.09806619281403431,2008,EE/FSU
66,858,7,2019,-0.15187767083495535,822,Asia-Pacific
67,32,7,2019,-0.22148610173049432,833,Latin America
68,840,7,2019,-0.28179211045909647,2479,Asia-Pacific
69,191,7,2019,-0.32691869589719585,1358,Other
70,56,5,2007,-0.3335783837588584,1461,Latin America
71,428,7,2019,-0.3517864998657308,1115,Africa
72,630,7,2019,-0.3531302182910968,1088,MENA
73,332,6,2013,-0.3627843863169723,1943,West
74,894,5,2007,-0.3832876857154509,1364,Asia-Pacific
75,372,5,2007,-0.38864257027867377,711,EE/FSU
76,50,7,2019,-0.42331175934943094,962,Latin America
77,231,7,2019,-0.43181649691126406,1135,West
78,203,7,2019,-0.4571851191681102,1138,West
79,716,7,2019,-0.4584563625839442,1171,EE/FSU
80,887,6,2013,-0.48987625682973984,751,Asia-Pacific
81,702,7,2019,-0.5192249939991749,1745,MENA
82,703,7,2019,-0.5267333711679034,1069,MENA
83,616,7,2019,-0.6084323170040762,1160,MENA
84,705,7,2019,-0.8114839042784114,992,MENA
85,442,5,2007,-0.8344689207596676,1429,Africa
86,12,6,2013,-0.8569041931143402,820,Latin America
87,470,5,2007,-0.85788322164864,1239,Africa
88,36,7,2019,-0.8643006173187016,1717,Latin America
89,250,7,2019,-0.9146530149541735,1723,West
90,124,7,2019,-0.9155930817987921,4018,Latin America
91,196,7,2019,-1.0128166521200441,410,Other
92,392,7,2019,-1.051733727931696,1056,West
93,348,7,2019,-1.0641489087614473,1393,West
94,909,7,2019,-1.0791548866064284,411,Other
95,380,7,2019,-1.091962969288529,2084,West
96,826,7,2019,-1.1073734589419553,2412,Asia-Pacific
97,528,7,2019,-1.116299846095836,1589,Africa
98,214,3,1997,-1.1657537322005724,347,West
