region,wave_chron,mean_agp,sd_agp,n,wave_year
Africa,3,0.0385571461987043,1.194947122590847,10,1997
Africa,4,0.23547874332949964,1.038130794625159,14,2001
Africa,5,0.24033414175386134,1.0804912199562535,15,2007
Africa,6,0.444869391261081,1.1904289651227458,12,2013
Africa,7,0.3490606398761045,0.8960040247055118,21,2019
Asia-Pacific,3,-0.14264426574266478,0.751962060039764,9,1997
Asia-Pacific,4,0.08185960656893315,0.969152436921796,10,2001
Asia-Pacific,5,-0.21994179541970899,0.8901019322375363,13,2007
Asia-Pacific,6,-0.3798749925661264,0.7739915510791945,10,2013
Asia-Pacific,7,-0.2199956712795828,1.0266557297683636,11,2019
EE/FSU,3,0.44502728296698146,0.7929220487238746,2,1997
EE/FSU,4,0.003040050926747425,1.1239788790948162,7,2001
EE/FSU,5,0.33748558464337275,1.098729203211106,8,2007
EE/FSU,6,0.16519846747178613,1.1746747760018266,6,2013
EE/FSU,7,0.4929064988192673,1.2560985145612011,8,2019
Latin America,3,0.24922408296186602,1.03308002070519,12,1997
Latin America,4,-0.06565561816069752,0.7985064127917552,12,2001
Latin America,5,0.1853933931578153,0.9104421353969364,14,2007
Latin America,6,-0.10193413807519154,0.7887519191946402,10,2013
Latin America,7,-0.0147264982398331,0.8527900806616567,17,2019
MENA,3,0.06193885613910878,1.1197356775727125,8,1997
MENA,4,0.44091489819074636,0.9148974285672457,11,2001
MENA,5,0.22715866552346858,0.776373554015934,9,2007
MENA,6,0.4514369054716458,0.7588909900275255,8,2013
MENA,7,0.2937262710284417,0.9045404081646926,12,2019
Other,3,0.09702146413124113,1.5544361032242335,2,1997
Other,4,-0.9146904098245351,0.13704188989222948,2,2001
Other,5,0.4823312360303196,0.742863973984074,6,2007
Other,6,-0.022089936892605133,1.343875989784946,3,2013
Other,7,-0.14249272589146783,0.9886787362027303,5,2019
West,3,-0.4080078232394186,0.947146496122746,9,1997
West,4,-0.5790358610282118,1.1026573171193812,11,2001
West,5,-0.6862235233188272,1.0019423901045117,16,2007
West,6,-0.6320947033307323,0.9230722531379628,8,2013
West,7,-0.7134671372927325,0.9126126965608221,16,2019
