model,predictor,coef,se,pval,n,ngroups
M1_baseline,Intercept,1.8735722887656918,0.016373327326170934,0.0,418225,347
M1_baseline,female,0.022560320842495193,0.0017032814235831328,4.809320919172083e-40,418225,347
M1_baseline,age,-0.034203902846789626,0.0009367772874692608,7.072839049124513e-292,418225,347
M1_baseline,edu,-0.08906330811423555,0.000980402011460719,0.0,418225,347
M1_baseline,Group Var,0.3082139187946337,0.023572763998542152,4.575564131111156e-39,418225,347
M2_H2_insecurity_trust,Intercept,1.874499705645141,0.01634965676261756,0.0,416866,347
M2_H2_insecurity_trust,insecurity,-0.04931097982904643,0.004315976406076851,3.1286239288845583e-30,416866,347
M2_H2_insecurity_trust,inst_trust,0.02636898509962891,0.0008677442366213243,7.921027743939763e-203,416866,347
M2_H2_insecurity_trust,female,0.021378017482300407,0.001704477065613734,4.3823991673417376e-36,416866,347
M2_H2_insecurity_trust,age,-0.03625345389960664,0.0009395746779414338,0.0,416866,347
M2_H2_insecurity_trust,edu,-0.08669328275370741,0.00098799701690203,0.0,416866,347
M2_H2_insecurity_trust,Group Var,0.3081205139019754,0.023548876058291944,4.048830107504848e-39,416866,347
M3_H3_emancipative,Intercept,1.8741547687322704,0.01633555501602793,0.0,403425,347
M3_H3_emancipative,emancipative_vals,-0.037624380787750655,0.0008710649540904963,0.0,403425,347
M3_H3_emancipative,insecurity,-0.04698624492854315,0.0043797927068608715,7.52380711732568e-27,403425,347
M3_H3_emancipative,inst_trust,0.024604350202316733,0.0008819940429854225,2.96047003762811e-171,403425,347
M3_H3_emancipative,female,0.01956761465642752,0.0017278593316494412,9.893486401067805e-30,403425,347
M3_H3_emancipative,age,-0.03856354817292088,0.0009531034468991623,0.0,403425,347
M3_H3_emancipative,edu,-0.08142565101875894,0.0010078087413839122,0.0,403425,347
M3_H3_emancipative,Group Var,0.30954790492717077,0.023539484479682637,1.698225848246738e-39,403425,347
M4_H4_interaction,Intercept,1.8734909561703292,0.016344555550402585,0.0,404064,347
M4_H4_interaction,insecurity,-0.046098516887767914,0.004385198878475908,7.582317645173108e-26,404064,347
M4_H4_interaction,emancipative_vals,-0.038727069865013286,0.0008702536801871007,0.0,404064,347
M4_H4_interaction,insecurity:emancipative_vals,-0.006450663027276607,0.0043958034359944595,0.14225112879751728,404064,347
M4_H4_interaction,female,0.020542822333546602,0.0017278459161339682,1.345816606284131e-32,404064,347
M4_H4_interaction,age,-0.036708751909216165,0.0009513964130577095,0.0,404064,347
M4_H4_interaction,edu,-0.08229432632245254,0.0010074599929002343,0.0,404064,347
M4_H4_interaction,Group Var,0.3092017850434416,0.023516790818663067,1.7443893081875287e-39,404064,347
