model,predictor,coef,se,pval,n,ngroups
M1_demog,Intercept,2.0517223652409666,0.04037248209576674,0.0,83364,64
M1_demog,female,0.025938918544914154,0.0038889106006160306,2.5585504500012807e-11,83364,64
M1_demog,age,-0.06639762617299697,0.0021345728311212412,2.0096889757453635e-212,83364,64
M1_demog,edu,-0.09247281579109297,0.001997605929985305,0.0,83364,64
M1_demog,Group Var,0.33348902535896524,0.0589990648546405,1.581805449354812e-08,83364,64
M2_insec_trust,Intercept,2.050827546484083,0.04041862146530919,0.0,81647,64
M2_insec_trust,insecurity,-0.008155543409996179,0.002034323838066382,6.0984140655191003e-05,81647,64
M2_insec_trust,inst_trust,0.03275655941751447,0.0019741623776323236,7.87841507244101e-62,81647,64
M2_insec_trust,female,0.027155595085071527,0.003924421220076521,4.527821998898547e-12,81647,64
M2_insec_trust,age,-0.06810685150422224,0.0021716702103959365,6.779600828661141e-216,81647,64
M2_insec_trust,edu,-0.09290077465856701,0.00207976464646122,0.0,81647,64
M2_insec_trust,Group Var,0.3352270392513415,0.05927473150346298,1.554116212530164e-08,81647,64
M3_emancip,Intercept,2.0459538000367896,0.04069728594785491,0.0,78054,64
M3_emancip,insecurity,-0.009215249692843028,0.002083201892654221,9.707014435046502e-06,78054,64
M3_emancip,inst_trust,0.030094034015886232,0.0020277806822498754,7.971272672872412e-50,78054,64
M3_emancip,emancip,-0.025078560319669686,0.0020081743532796782,8.65486527544248e-36,78054,64
M3_emancip,female,0.026736736986768064,0.004008948446257694,2.5708880151053847e-11,78054,64
M3_emancip,age,-0.07002128987855075,0.0022211712758810334,4.0119649298598595e-218,78054,64
M3_emancip,edu,-0.09222855701866321,0.002133228448301926,0.0,78054,64
M3_emancip,Group Var,0.3407077096038923,0.06023269657612714,1.5446915091788297e-08,78054,64
M4_interact,Intercept,2.045953720614133,0.040697344240067344,0.0,78054,64
M4_interact,insecurity,-0.009215201613615375,0.0020836159128565664,9.747645080072526e-06,78054,64
M4_interact,emancip,-0.025078633097065792,0.0020091582880814507,9.341877527873174e-36,78054,64
M4_interact,insecurity:emancip,-2.3222095768534916e-06,0.0020061202512040134,0.9990763989579294,78054,64
M4_interact,inst_trust,0.030094011061746855,0.002027877637558448,8.057396809728289e-50,78054,64
M4_interact,female,0.026736679195061328,0.004009259306191777,2.5802145010042417e-11,78054,64
M4_interact,age,-0.07002133159517826,0.002221463616330321,4.570363336914257e-218,78054,64
M4_interact,edu,-0.09222852034732772,0.002133463667697317,0.0,78054,64
M4_interact,Group Var,0.34070771720241805,0.06023269826507876,1.5446918011695576e-08,78054,64
