country_num,n_waves,n_ebb,n_rise,n_stable,max_ebb,max_rise
8,3,2,1,0,-2.378677346081967,0.7326320507533847
586,3,2,1,0,-2.1515470561034293,1.3816704066282806
764,2,1,1,0,-2.017502776413558,1.8969187275144725
716,2,1,1,0,-1.4350943327463572,1.1704458101271753
428,3,1,2,0,-1.3264505801828006,0.40055354396561205
196,2,1,1,0,-1.2563544741129131,0.5258932935063394
112,4,1,2,1,-1.2336252063063233,0.6338693899351423
100,3,2,1,0,-1.1646034864358494,0.7130659887254329
12,1,1,0,0,-1.1102969347735243,-1.1102969347735243
364,2,2,0,0,-1.071057469124362,-1.0288969291217325
417,2,1,1,0,-0.9809447388696306,0.5761404892229729
458,2,1,1,0,-0.9752130616744988,0.2972987431918348
702,2,1,0,1,-0.8630393775930825,0.1559917010646389
780,1,1,0,0,-0.8564970507929032,-0.8564970507929032
152,4,2,1,1,-0.8267437597352595,0.9168770785627764
528,3,1,1,1,-0.8247182865908462,0.44185158905999816
756,2,1,0,1,-0.7976453154787013,0.12679503499831268
440,3,1,0,2,-0.7517222335161392,-0.04376313923633113
400,3,2,1,0,-0.7409428943837829,0.8317034700100501
703,3,1,1,1,-0.7374239493835932,0.9451547188230984
70,3,2,1,0,-0.7370890167793109,0.787762128794351
909,2,1,1,0,-0.7239787085725431,0.6564174814400654
32,4,1,2,1,-0.6976162627682858,0.8289105927617708
268,3,1,1,1,-0.6285885054793375,1.0347477362754705
608,3,1,1,1,-0.624757419245878,0.2707091462518729
442,1,1,0,0,-0.6231127981755291,-0.6231127981755291
792,3,2,1,0,-0.5887682101808466,0.794025394876084
620,2,1,1,0,-0.581543654594457,0.3504031504062223
616,3,2,0,1,-0.5805367662800607,0.07420795180368239
233,4,2,1,1,-0.5738422509831829,0.2702124216305107
752,4,1,0,3,-0.5735892079561387,0.09861585630873226
344,2,1,0,1,-0.5716785763665081,-0.16170279406064358
246,3,3,0,0,-0.5572606656558611,-0.3229482291298276
643,4,2,0,2,-0.5547777175108819,0.06906188069259844
804,4,1,1,2,-0.5544730579165652,0.2609468512860661
208,2,1,1,0,-0.5515404640702926,0.700520783553813
156,3,2,1,0,-0.5482452777746705,0.39682186602557434
250,2,1,0,1,-0.5301504823464596,0.1565996149273297
40,2,1,1,0,-0.5269439049320439,0.22868294216790774
170,3,2,0,1,-0.5267896999828409,0.1945589721383515
276,4,1,1,2,-0.4922803746091817,0.2228055818670096
191,3,1,1,1,-0.48806257634286254,0.9789310406207861
76,3,1,0,2,-0.4828797267118228,-0.06791543199550354
422,1,1,0,0,-0.45209718046540237,-0.45209718046540237
288,1,1,0,0,-0.44064960166156864,-0.44064960166156864
858,3,1,1,1,-0.4173548568519208,0.49891423002165597
352,2,1,0,1,-0.4173505430926072,0.11648705497726031
360,2,2,0,0,-0.4147550452732518,-0.36913222917655486
356,4,1,0,3,-0.41061714865642385,0.18173557324940603
380,2,1,1,0,-0.400981938813892,0.41105943805224543
705,4,1,0,3,-0.38965824174629105,0.14845154941555871
320,1,1,0,0,-0.3589335519602629,-0.3589335519602629
554,3,2,1,0,-0.3525172451395169,0.3368914094926956
348,3,2,1,0,-0.34957868479967424,0.6651372687904237
124,2,1,0,1,-0.3457456833363506,0.18939105966769132
642,4,2,1,1,-0.3412072784706227,1.2654205498249298
51,3,1,1,1,-0.33264364350911807,0.7785659108308038
484,4,1,1,2,-0.33031222718417896,0.5337065294928107
862,2,1,0,1,-0.32582984508409973,0.07395045001662987
498,2,1,1,0,-0.3110884507960736,0.5882237826510045
499,3,1,1,1,-0.3105596528352874,2.0854074802701312
300,2,1,0,1,-0.3068964736256876,0.08628843887734505
724,4,3,0,1,-0.300427340042419,0.05512921017613087
578,2,1,0,1,-0.2891256066534824,0.05236979770995909
36,3,2,1,0,-0.28799964196511807,0.4434966761449741
158,3,1,0,2,-0.2696385232217702,-0.032476172440820905
826,2,1,0,1,-0.2548655751207344,-0.18698433372169576
203,3,1,1,1,-0.24739900155520658,0.6742789031694918
368,3,1,2,0,-0.22602593718693564,1.7757645140662477
807,3,1,1,1,-0.21470348536498718,0.7348569322737885
410,4,1,3,0,-0.2083216663902392,0.7612334584289828
